Offizieller_Name;streetAddress;postalCode;addressLocality;Telefon;Email;Fax;Internet;Handelsregister;Rechtsform;Hauptsitz;Firmengründung;Inhaber;Geschäftsführung;Branche;Unternehmensgegendstand;Umsatzsteuer-Id;Mitarbeiter;Stammkapital
Multi-Seller Ulrich Dahmen e.K.;Bahnhofstrasse 11 a;66701;Beckingen;+49 (06835) 607521;ulrichdahmen@t-online.de;+49 (06835) 607522;www.ulrich-dahmen.de;HRA 9399, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Beckingen;n/a;n/a;n/a;Handel mit Ersatzteilen und Zubehör für Autos, Nutzfahrzeuge, LKW etc.;n/a;n/a;n/a;n/a
PHARMEC GmbH;Ober Kubsborn 1;66701;Beckingen;+49 (06832) 807687;pharmec-saar@t-online.de;+49 (06832) 807688;www.parmec.de;HRB 16123, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Grosshandel mit pharmazeutischen Erzeugnissen;n/a;n/a;n/a;n/a
Pharmahandel Köhnen GmbH;Dillinger Strasse 2;66701;Beckingen;+49 (06835) 500841;info@intermedic-gmbh.de;+49 (06835) 500842;www.intermedic-gmbh.de;HRB 12597, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Grosshandel mit Kosmetika und Körperpflegemitteln;n/a;n/a;n/a;n/a
Udo´s Maler- und Stukkateurbetrieb GmbH;Erbringer Strasse 64;66701;Beckingen;+49 (06832) 1274;n/a;n/a;n/a;HRB 16179, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;Werding, Udo, Beckingen;n/a;n/a;n/a;n/a;25.000 Euro
WRD Grosse-Beck GmbH;Zum Weiher 2;66701;Beckingen;+49 (06835) 7387;info@grosse-beck.de;+49 (06835) 67508;www.grosse-beck.de;HRB 14644, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen (Ortsteil Haustadt);n/a;n/a;n/a;Wachdienste und Sicherheitsdienste;n/a;n/a;n/a;n/a
Zenner Hochbau GmbH;Am Zollstock 1;66701;Beckingen;+49 (06832) 8090;info@zennerbau.de;+49 (06832) 80920;www.zennerbau.de;HRB 12240, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Hochbau (ohne Fertigteilbau);n/a;n/a;n/a;n/a
ZWP Anlagenrevision GmbH;Südstrasse 1;66701;Beckingen;+49 (06835) 4096;zwpar@zwpar.de;+49 (06835) 68811;www.zwpar.de;HRB 63935, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Personalvermittlung, Arbeitsvermittlung, Personalservice, Zeitarbeit;n/a;n/a;n/a;n/a
A + K Modern Style GmbH;Drosselweg 5;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 100211, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2012;n/a;n/a;Grosshandel mit Bekleidung und Schuhen;n/a;n/a;n/a;n/a
Bacus + Bergauer GmbH;Auf Heipel 1;66701;Beckingen;+49 (06835) 1751;n/a;n/a;n/a;HRB 17276, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Stukkateure, Gipser und Verputzer;n/a;n/a;n/a;n/a
Bella Stuck Geschäftsführungsgesellschaft mbH;Buchenstrasse 16;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 16256, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;Weiss, Jeanette, Beckingen;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
Brigitta und Josef Schwinn GmbH + Co. KG;Johanneshof;66701;Beckingen;+49 (06832) 478;n/a;+49 (06832) 1611;n/a;HRA 10175, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Beckingen;n/a;n/a;n/a;Vermögensberater und sonstige Vermögensberatung;n/a;n/a;n/a;n/a
HH SoLa e.K.;Rehlinger Strasse 14;66701;Beckingen;n/a;n/a;n/a;n/a;HRA 11179, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Beckingen;2011;n/a;n/a;Dienstleistungen a.n.g.;n/a;n/a;n/a;n/a
MPB Geschäftsführungsgesellschaft mbH;Lohwiese 6;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 16765, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Holding- und Beteiligungsgesellschaften;n/a;n/a;n/a;n/a
SHS Service für Haus- und Systemtechnik Geschäftsführungs UG (haftungsbeschränkt);Reimsbacher Strasse 20a;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 100177, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Beckingen;2012;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
Verlag Rechenrakete GmbH;Oppener Strasse 102;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 19882, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Einzelhandel mit Schreibwaren, Schulbedarf und Bürobedarf;n/a;n/a;n/a;n/a
vosa-service Geschäftsführungs UG (haftungsbeschränkt);Reimsbacher Strasse 20;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 19680, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Beckingen;2011;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
W²S Fahrzeugtechnik GmbH;Mühlenbachstrasse 15;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 100613, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2012;n/a;n/a;Herstellung von Teilen und Zubehör für Kraftfahrzeuge und Motoren;n/a;n/a;n/a;n/a
ASV AGRAR - Service + Vertriebs-GmbH;Hauptstrasse 13;66701;Beckingen;+49 (06832) 921074;n/a;+49 (06832) 7357;n/a;HRB 17837, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Transporte, Güterbeförderung im Strassenverkehr;n/a;n/a;n/a;n/a
Huckert Fussbodentechnik GmbH;Rehlinger Strasse 25;66701;Beckingen;+49 (06835) 91980;n/a;+49 (06835) 919850;n/a;HRB 19462, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2011;n/a;n/a;Raumausstattung;n/a;n/a;n/a;n/a
Spree Metall GmbH + Co. KG;Auf dem Gehren 17;66701;Beckingen;+49 (030) 53010901;n/a;+49 (030) 53010904;n/a;HRA 39991, Amtsgericht Berlin (Charlottenburg);GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Beckingen;n/a;n/a;n/a;Handelsvermittlung von Eisenwaren und Kunststoffwaren;n/a;n/a;n/a;n/a
VVG A Verwaltungsgesellschaft mbH + Co. KG;Schützenstrasse 7;66701;Beckingen;+49 (06831) 80790;n/a;+49 (06832) 807931;n/a;HRA 9845, Amtsgericht Saarbrücken;GmbH + Co. KG: Gesellschaft mit beschränkter Haftung und Compagnie Kommanditgesellschaft;Beckingen;n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
MBS Bauunternehmung GmbH;Im Rohr 67;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 18982, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2010;n/a;n/a;Sonstiger spezialisierter Hoch- und Tiefbau;n/a;n/a;n/a;n/a
Wohngebiet Litermont Verwaltungsgesellschaft mbH;Am grauen Stein 1 b;66701;Beckingen;+49 (06832) 800721;info@litermont.de;+49 (06832) 800723;www.litermont.de;HRB 64480, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
D. Ziemer Beteiligungsgesellschaft mbH;Litermontstrasse 20;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 19958, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2012;n/a;n/a;Holding- und Beteiligungsgesellschaften;n/a;n/a;n/a;n/a
Katterwann Gastro GmbH;Dillinger Strasse 28;66701;Beckingen;+49 (06835) 600171;n/a;n/a;n/a;HRB 18861, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;2010;n/a;n/a;n/a;n/a;n/a;n/a;n/a
REGLER Systems GmbH;Rehlinger Strasse 16;66701;Beckingen;+49 (06835) 9552444;kopiersysteme@regler.de;+49 (06835) 95552290;www.regler.de;HRB 15730, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Grosshandel mit Karton, Papier, Pappe, Schreibwaren, Bürobedarf, Büchern, Zeitschriften und Zeitungen;n/a;n/a;n/a;n/a
REGLER Office GmbH;Rehlinger Strasse 16;66701;Beckingen;+49 (06835) 9552800;post@regler.de;+49 (06835) 9552810;www.regler.de;HRB 15748, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Grosshandel mit Karton, Papier, Pappe, Schreibwaren, Bürobedarf, Büchern, Zeitschriften und Zeitungen;n/a;n/a;n/a;n/a
Rudolf Müller GmbH;Auf der Hilt 18;66701;Beckingen;+49 (06832) 7128;info@peugeot-mueller.de;n/a;www.peugeot-mueller.de;HRB 63249, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Mühlen sowie Herstellung von Stärke und Stärkeerzeugnissen;n/a;n/a;n/a;n/a
Schneider Grundstücksverwaltungsgesellschaft mbH;Hauptstrasse 28;66701;Beckingen;+49 (06835) 80342;n/a;n/a;n/a;HRB 16759, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Immobilien-Verwaltung für Dritte;n/a;n/a;n/a;n/a
A+B Textil Vertriebs- + Handelsgesellschaft mbH;Erbringer Strasse 12;66701;Beckingen;+49 (06832) 800973;info@come-for.de;+49 (06832) 8080488;www.come-for.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen (Ortsteil Erbringen);n/a;n/a;n/a;Grosshandel mit Bekleidung und Schuhen;n/a;n/a;n/a;n/a
Gebrüder Huckert GmbH;Rehlingerstrasse 25;66701;Beckingen;+49 (06835) 91980;info@huckert.de;+49 (06835) 919850;www.huckert.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Estrichleger;n/a;n/a;n/a;n/a
Gilbert Wilbois e.K.;Dillinger Strasse 32a;66701;Beckingen;+49 (06832) 432;n/a;+49 (06832) 213;n/a;HRA 10394, Amtsgericht Saarbrücken;e.K.: Eingetragener Kaufmann/Eingetragene Kauffrau (auch e.Kfm. oder e.Kffr.);Beckingen;n/a;n/a;n/a;Klempnerei, Gasinstallation, Wasserinstallation, Heizungsinstallation und Lüftungsinstallation;n/a;n/a;n/a;n/a
Hofmann Consult UG (haftungsbeschränkt);Rehlinger Strasse 7;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 18057, Amtsgericht Saarbrücken;UG (haftungsbeschränkt): Unternehmergesellschaft (haftungsbeschränkt);Beckingen;n/a;n/a;n/a;Vermögensberater und sonstige Vermögensberatung;n/a;n/a;n/a;n/a
IFAI Wirtschaftliches Institut für angewandte Informatik GmbH;Im Pfuhl 1;66701;Beckingen;+49 (06832) 92050;info@ifai-software.de;+49 (06832) 91173;www.ifai-software.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Datenverarbeitung;n/a;n/a;n/a;n/a
K-A-B GmbH für Kunst- und Wertstoffe;Honzrather Strasse 92;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 17069, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Grosshandel mit nicht elektrischen Haushaltsgeräten;n/a;n/a;n/a;n/a
Kamb Küchenstudio GmbH;Talstrasse 220;66701;Beckingen;+49 (06835) 4848;info@kamb-kuechenstudio.de;+49 (06835) 67356;www.kamb-kuechenstudio.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Einzelhandel mit Möbeln, Möbelhäuser;n/a;n/a;n/a;n/a
KaWe Geschäftsführungsgesellschaft mbH;Schützenstrasse 7-11;66701;Beckingen;n/a;n/a;n/a;n/a;HRB 17764, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Verwaltung und Management von Unternehmen und Betrieben;n/a;n/a;n/a;n/a
Michely-Reisen GmbH;Hauptstrasse 58;66701;Beckingen;+49 (06832) 249;info@michely-reisen.de;+49 (06832) 8509;www.michely-reisen.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen (Ortsteil Düppenweiler);n/a;n/a;n/a;Busunternehmen;n/a;n/a;n/a;n/a
RÖMO-Montagetechnik oHG;Honzrather Strasse 22a;66701;Beckingen;n/a;n/a;n/a;n/a;HRA 11090, Amtsgericht Saarbrücken;OHG: Offene Handelsgesellschaft;Beckingen (Ortsteil Honzrath);2011;n/a;n/a;Dienstleistungen a.n.g.;n/a;n/a;n/a;n/a
Saturn Logistics GmbH;Auf Taubentälchen 30;66701;Beckingen;+49 (06832) 91201;mstrick@saturn-logistics.com;+49 (06832) 91202;www.saturn-logistics.com;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen (Ortsteil Hargarten);n/a;n/a;n/a;Speditionen;n/a;n/a;n/a;n/a
Wagner-Bau GmbH;Erbringer Strasse 2b;66701;Beckingen;+49 (06832) 8126;info@juergen-wagner-bau.de;+49 (06832) 8880;www.juergen-wagner-bau.de;n/a;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen (Ortsteil Erbringen);n/a;n/a;n/a;Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt;n/a;n/a;n/a;n/a
EUCATOR AG;Südstrasse 2;66701;Beckingen;+49 (06835) 93040;info@eucator.de;n/a;www.eucator.de;HRB 15344, Amtsgericht Saarbrücken;AG: Aktiengesellschaft;Beckingen;n/a;n/a;n/a;Unternehmensberatung, Unternehmensberater;n/a;n/a;n/a;n/a
H+R Personal- und Unternehmensberatung Hippchen + Röder Partnerschaft;Im Hirtengarten 32;66701;Beckingen;n/a;n/a;n/a;n/a;PR 86, Amtsgericht Saarbrücken;n/a;Beckingen;n/a;n/a;n/a;Unternehmensberatung, Unternehmensberater;n/a;n/a;n/a;n/a
LF Projektmanagement GmbH;Piesbacher Strasse 65;66701;Beckingen;+49 (06832) 808921;lf-gmbh@web.de;+49 (06832) 808920;n/a;HRB 14957, Amtsgericht Saarbrücken;GmbH: Gesellschaft mit beschränkter Haftung;Beckingen;n/a;n/a;n/a;Unternehmensberatung, Unternehmensberater;n/a;n/a;n/a;n/a
Tal-Apotheke Rainer Schaber;Honzrather Strasse 69;66701;Beckingen;+49 (06835) 93351;info@talapotheke.de;+49 (06835) 93352;www.talapotheke.de;n/a;n/a;Beckingen (Ortsteil Honzrath);n/a;n/a;n/a;Apotheken;n/a;n/a;n/a;n/a
