,company_name,rating,reviews,salaries,jobs,location,size,industry,description
17,Kärcher,3.4,"{'url': '/Reviews/K%C3%A4rcher-Reviews-E309898.htm', 'count': '561'}","{'url': '/Salary/K%C3%A4rcher-Salaries-E309898.htm', 'count': '196'}","{'url': '/Jobs/K%C3%A4rcher-Jobs-E309898.htm', 'count': '377'}",Saarland,10000+ Employees,Machinery Manufacturing,"From the very beginning, Kärcher has always been characterised by ingenuity and innovative thinking. The company was founded in 1935 by the inventor Alfred Kärcher, who began manufacturing and marketing his pioneering product ideas in the field of heating technology. The cornerstone of developing into the world’s leading cleaning specialist was laid in 1950 with the invention of Europe's first hot water high-pressure cleaner. When Alfred Kärcher died in 1959, his wife Irene continued her husband's life's work until her own death in 1989. Kärcher has remained a family-owned company to this day, headquartered in Winnenden near Stuttgart."
18,Schülerhilfe,3.2,"{'url': '/Reviews/Sch%C3%BClerhilfe-Reviews-E931384.htm', 'count': '146'}","{'url': '/Salary/Sch%C3%BClerhilfe-Salaries-E931384.htm', 'count': '1'}","{'url': '/Jobs/Sch%C3%BClerhilfe-Jobs-E931384.htm', 'count': '986'}",Saarland,501 to 1000 Employees,Primary & Secondary Schools,
19,Praxis Fur Ergotherapie,3.0,"{'url': '/Reviews/Praxis-Fur-Ergotherapie-Reviews-E4730831.htm', 'count': '1'}","{'url': '/Salary/Praxis-Fur-Ergotherapie-Salaries-E4730831.htm', 'count': '--'}","{'url': '/Jobs/Praxis-Fur-Ergotherapie-Jobs-E4730831.htm', 'count': '2'}",Saarland,1 to 50 Employees,N/A,
20,MTD Products,3.5,"{'url': '/Reviews/MTD-Products-Reviews-E3302.htm', 'count': '302'}","{'url': '/Salary/MTD-Products-Salaries-E3302.htm', 'count': '427'}","{'url': '/Jobs/MTD-Products-Jobs-E3302.htm', 'count': '8'}",Saarland,5001 to 10000 Employees,Machinery Manufacturing,"Founded in 1932, MTD Products is a leader in outdoor power equipment headquartered near Cleveland, Ohio. Our engineering expertise and state-of-the-art facilities around the world fuel MTD’s reputation for innovation and award-winning products. 

Our quality mowers, snow throwers, utility vehicles, and more can be found online and in residential and commercial markets everywhere. 

Our current family of brands includes Cub Cadet, Troy-Bilt® and Remington®, as well as Robomow®, Yard Machines®, Rover®, WOLF-Garten, and Bolens®. Together they offer a complete range of products to suit every type of customer and every kind of lawn and garden.

MTD remains committed to the values of our founders: Stewardship, Integrity, Hard Work, Reliance on and Respect for People, Innovation, Willingness to take Risks, Gratitude for Customers, and Promotion from Within. These values have been integral to our success and growth, and they continue to drive our decisions today."
21,Primark,3.5,"{'url': '/Reviews/Primark-Reviews-E36867.htm', 'count': '10.2K'}","{'url': '/Salary/Primark-Salaries-E36867.htm', 'count': '669'}","{'url': '/Jobs/Primark-Jobs-E36867.htm', 'count': '947'}",Saarland,10000+ Employees,"Department, Clothing & Shoe Stores","Bringing you amazing fashion at amazing prices, Primark is fashion for the people. We go out of our way to thrill our customers with the latest looks, style inspiration and high-tech store design. 

It's not just our customers who experience the 'wow factor'​ - it's our people too. Our people are part of the buzz of a fast-moving, growing business that values creativity and commitment to customers and provides plenty of career opportunities. 

With 330+ stores across 11 countries, 70,000+ employees and 1.4 million shoppers served every day, now is the time to apply. We can't wait to meet you!"
22,Groupe PSA,3.5,"{'url': '/Reviews/Groupe-PSA-Reviews-E607097.htm', 'count': '1.6K'}","{'url': '/Salary/Groupe-PSA-Salaries-E607097.htm', 'count': '9'}","{'url': '/Jobs/Groupe-PSA-Jobs-E607097.htm', 'count': '2'}",Saarland,10000+ Employees,Transportation Equipment Manufacturing,"For 200 years, PSA Peugeot CITROEN has been a Group firmly anchored on the French territory. The Group has produced 919,900 vehicles in 2013. This represents a contribution of 4.5 billion euros to the trade balance of the country. It produces 85% of its engines and gearboxes and 33% of its vehicles in France. It employs approximately 91,000 people on the French territory, including 14,250 engineers in R&D."
23,REGLER Systems,1.5,"{'url': '/Reviews/REGLER-Systems-Reviews-E1184362.htm', 'count': '4'}","{'url': '/Salary/REGLER-Systems-Salaries-E1184362.htm', 'count': '--'}","{'url': '/Jobs/REGLER-Systems-Jobs-E1184362.htm', 'count': '--'}",Saarland,51 to 200 Employees,N/A,
24,Knappschaftsklinikum Saar,4.0,"{'url': '/Reviews/Knappschaftsklinikum-Saar-Reviews-E2875194.htm', 'count': '2'}","{'url': '/Salary/Knappschaftsklinikum-Saar-Salaries-E2875194.htm', 'count': '--'}","{'url': '/Jobs/Knappschaftsklinikum-Saar-Jobs-E2875194.htm', 'count': '96'}",Saarland,Unknown,N/A,
25,Postbank,3.0,"{'url': '/Reviews/Postbank-Reviews-E37863.htm', 'count': '188'}","{'url': '/Salary/Postbank-Salaries-E37863.htm', 'count': '1'}","{'url': '/Jobs/Postbank-Jobs-E37863.htm', 'count': '1.4K'}",Saarland,10000+ Employees,Banking & Lending,"With around 14 million clients, 14,800 employees and total assets amounting to €155 billion, the Postbank Group is one of Germany's largest financial service providers. It focuses on business with private customers and with small and medium-sized companies."
26,ALDI,3.5,"{'url': '/Reviews/ALDI-Reviews-E7337.htm', 'count': '12.4K'}","{'url': '/Salary/ALDI-Salaries-E7337.htm', 'count': '10.1K'}","{'url': '/Jobs/ALDI-Jobs-E7337.htm', 'count': '15.1K'}",Saarland,10000+ Employees,Grocery Stores,"As one of America’s favorite grocers, we believe in providing the best value and quality in everything we do. For our 50 million customers each month, we bring them the highest quality products at the lowest possible prices every day. For our employees, we provide industry-leading wages, a great work environment and terrific benefits.

ALDI operates more than 2,100 store locations across 38 states. That’s just the start. We’re growing faster than ever before. ALDI is one of the fastest-growing retailers in the nation, and we are charting an aggressive growth course to become the third-largest U.S. grocery retailer by store count by the end of 2022. That means more opportunities for you to join our award-winning store, warehouse, office and executive teams.

We know our employees are vital to our success. That’s why when you join ALDI, you’ll see how your hard work, commitment and dedication earn you more."
27,The Coatinc,2.7,"{'url': '/Reviews/The-Coatinc-Reviews-E1076004.htm', 'count': '3'}","{'url': '/Salary/The-Coatinc-Salaries-E1076004.htm', 'count': '--'}","{'url': '/Jobs/The-Coatinc-Jobs-E1076004.htm', 'count': '1'}",Saarland,Unknown,N/A,
28,Abel+Schäfer Völklingen,2.2,"{'url': '/Reviews/Abel-Sch%C3%A4fer-V%C3%B6lklingen-Reviews-E1257893.htm', 'count': '6'}","{'url': '/Salary/Abel-Sch%C3%A4fer-V%C3%B6lklingen-Salaries-E1257893.htm', 'count': '--'}","{'url': '/Jobs/Abel-Sch%C3%A4fer-V%C3%B6lklingen-Jobs-E1257893.htm', 'count': '--'}",Saarland,Unknown,N/A,
29,SGS-TÜV SAAR,3.5,"{'url': '/Reviews/SGS-T%C3%9CV-SAAR-Reviews-E1287950.htm', 'count': '2'}","{'url': '/Salary/SGS-T%C3%9CV-SAAR-Salaries-E1287950.htm', 'count': '1'}","{'url': '/Jobs/SGS-T%C3%9CV-SAAR-Jobs-E1287950.htm', 'count': '8'}",Saarland,1 to 50 Employees,N/A,
30,A.T.U Auto-Teile-Unger,3.0,"{'url': '/Reviews/A-T-U-Auto-Teile-Unger-Reviews-E934129.htm', 'count': '97'}","{'url': '/Salary/A-T-U-Auto-Teile-Unger-Salaries-E934129.htm', 'count': '2'}","{'url': '/Jobs/A-T-U-Auto-Teile-Unger-Jobs-E934129.htm', 'count': '807'}",Saarland,5001 to 10000 Employees,Automotive Parts & Accessories Stores,
31,Gemeindeverwaltung,3.6,"{'url': '/Reviews/Gemeindeverwaltung-Reviews-E3209311.htm', 'count': '11'}","{'url': '/Salary/Gemeindeverwaltung-Salaries-E3209311.htm', 'count': '--'}","{'url': '/Jobs/Gemeindeverwaltung-Jobs-E3209311.htm', 'count': '20'}",Saarland,Unknown,N/A,
32,retailsolutions,4.2,"{'url': '/Reviews/retailsolutions-Reviews-E3049042.htm', 'count': '3'}","{'url': '/Salary/retailsolutions-Salaries-E3049042.htm', 'count': '1'}","{'url': '/Jobs/retailsolutions-Jobs-E3049042.htm', 'count': '12'}",Saarland,51 to 200 Employees,N/A,
33,Commerzbank,4.0,"{'url': '/Reviews/Commerzbank-Reviews-E10650.htm', 'count': '1.4K'}","{'url': '/Salary/Commerzbank-Salaries-E10650.htm', 'count': '127'}","{'url': '/Jobs/Commerzbank-Jobs-E10650.htm', 'count': '672'}",Saarland,10000+ Employees,Banking & Lending,"Sprechen Sie Commerz? The second-largest bank in Germany (behind Deutsche Bank), Commerzbank provides retail and commercial banking services from approximately 1,200 branches nationwide and from offices in another 50 countries. The bank serves about 15 million customers, primarily individuals and small to midsized businesses, in Germany and abroad. Mortgage specialist Eurohypo provides commercial and residential real estate lending and public financing services in Europe and the US. Since Dresdner Bank merged into Commerzbank in 2009, the company has been retooling itself and focusing on its core banking operations."
34,Freiberuflich,3.8,"{'url': '/Reviews/Freiberuflich-Reviews-E3160476.htm', 'count': '51'}","{'url': '/Salary/Freiberuflich-Salaries-E3160476.htm', 'count': '2'}","{'url': '/Jobs/Freiberuflich-Jobs-E3160476.htm', 'count': '--'}",Saarland,Unknown,N/A,
35,Cotral Lab,3.2,"{'url': '/Reviews/Cotral-Lab-Reviews-E1027503.htm', 'count': '14'}","{'url': '/Salary/Cotral-Lab-Salaries-E1027503.htm', 'count': '1'}","{'url': '/Jobs/Cotral-Lab-Jobs-E1027503.htm', 'count': '19'}",Saarland,Unknown,Consumer Product Manufacturing,
36,BENTELER Group,3.8,"{'url': '/Reviews/BENTELER-Group-Reviews-E18451.htm', 'count': '648'}","{'url': '/Salary/BENTELER-Group-Salaries-E18451.htm', 'count': '287'}","{'url': '/Jobs/BENTELER-Group-Jobs-E18451.htm', 'count': '75'}",Saarland,10000+ Employees,Machinery Manufacturing,"BENTELER makes it happen!

BENTELER is a global company serving customers in automotive technology, the energy sector and mechanical engineering. As metal processing specialists, we develop, produce and distribute safety-related products, systems and services worldwide.
Our portfolio encompasses components and modules for the automotive industry, in the areas of chassis, body, engine and exhaust systems as well as future technologies such as system solutions for electric vehicles. 
In addition, we develop technical equipment and plant for leading automotive suppliers and for the glass-processing industry.
Also, based on more than 140 years of experience in steel, we develop seamless and welded quality steel tubes – from material development to tube applications.

Under the management of the strategic holding BENTELER International AG, headquartered in Salzburg, Austria, our around 23,000 employees at 87 locations in 26 countries offer first-class manufacturing and sales competence – all dedicated to delivering a first-class service wherever our customers need us. In the 2022 financial year, Group revenues were €8.954 billion.

BENTELER. The family of driven professionals. Since 1876.

www.benteler.com   

www.career.benteler.com

Privacy statement: https://www.benteler.com/data-security/"
37,Artemis,2.5,"{'url': '/Reviews/Artemis-Reviews-E4220666.htm', 'count': '23'}","{'url': '/Salary/Artemis-Salaries-E4220666.htm', 'count': '3'}","{'url': '/Jobs/Artemis-Jobs-E4220666.htm', 'count': '--'}",Saarland,501 to 1000 Employees,N/A,
38,Hochschule für Musik Saar,2.0,"{'url': '/Reviews/Hochschule-f%C3%BCr-Musik-Saar-Reviews-E7335575.htm', 'count': '1'}","{'url': '/Salary/Hochschule-f%C3%BCr-Musik-Saar-Salaries-E7335575.htm', 'count': '--'}","{'url': '/Jobs/Hochschule-f%C3%BCr-Musik-Saar-Jobs-E7335575.htm', 'count': '--'}",Saarland,51 to 200 Employees,N/A,
39,Neways Electronics,3.8,"{'url': '/Reviews/Neways-Electronics-Reviews-E40865.htm', 'count': '30'}","{'url': '/Salary/Neways-Electronics-Salaries-E40865.htm', 'count': '1'}","{'url': '/Jobs/Neways-Electronics-Jobs-E40865.htm', 'count': '59'}",Saarland,1001 to 5000 Employees,Electronics Manufacturing,"Neways just might be the right way to go for the company in need of turnkey electronics design, production, and service. Neways Electronics International provides contract electronics manufacturing for clients in the telecommunications, medical, industrial, defense and aerospace, and automotive industries. Neways offers an array of services, including engineering, assembly, microelectronics, cable and wire configuration, and service and repair. The company operates via locations in China, Germany, the Netherlands, and Slovakia. Neways was established in 1969. The company gets most of its sales in Europe, primarily in the Netherlands."
40,Veolia,3.8,"{'url': '/Reviews/Veolia-Reviews-E20114.htm', 'count': '2.8K'}","{'url': '/Salary/Veolia-Salaries-E20114.htm', 'count': '1.2K'}","{'url': '/Jobs/Veolia-Jobs-E20114.htm', 'count': '2.8K'}",Saarland,10000+ Employees,Energy & Utilities,"Around the globe, Veolia helps cities and industries to manage, optimize and make the most of their resources. The company provides an array of solutions related to water, energy and materials – with a focus on waste recovery – to promote the transition toward a circular economy.

Veolia's 187,000 employees are tasked with contributing directly to the sustainability performance of customers in the public and private sectors, allowing them to pursue development while protecting the environment. 

To this end, the company designs and deploys specialist solutions to provide, protect and replenish resources while increasing their efficiency from an environmental, economic and social standpoint. Such initiatives are all part of Veolia's ongoing campaign to resource the world. "
41,Adler Manufacturing,3.7,"{'url': '/Reviews/Adler-Manufacturing-Reviews-E38142.htm', 'count': '14'}","{'url': '/Salary/Adler-Manufacturing-Salaries-E38142.htm', 'count': '--'}","{'url': '/Jobs/Adler-Manufacturing-Jobs-E38142.htm', 'count': '--'}",Saarland,51 to 200 Employees,Consumer Product Manufacturing,"If you have a need to see your name printed on everything, you may not need to channel psychology pioneer Alfred Adler after all; perhaps you merely need to contact Adler Manufacturing. Doing business as Adler Manufacturing, the company's specialty is high-end personalized and promotional products, including writing instruments, diaries and notepads, wine accessories, key rings, and pocketknives, among myriad items. Manufacturing and distributing its products to more than 12 countries, Adler Global has been in the same business for more than a half-century. The founding Adler family still owns and runs the company (and is no relation to Alfred Adler)."
42,Landeshauptstadt Saarbrücken,2.0,"{'url': '/Reviews/Landeshauptstadt-Saarbr%C3%BCcken-Reviews-E934973.htm', 'count': '1'}","{'url': '/Salary/Landeshauptstadt-Saarbr%C3%BCcken-Salaries-E934973.htm', 'count': '--'}","{'url': '/Jobs/Landeshauptstadt-Saarbr%C3%BCcken-Jobs-E934973.htm', 'count': '--'}",Saarland,1001 to 5000 Employees,Municipal Agencies,
43,DataONE,4.6,"{'url': '/Reviews/DataONE-Reviews-E781285.htm', 'count': '4'}","{'url': '/Salary/DataONE-Salaries-E781285.htm', 'count': '3'}","{'url': '/Jobs/DataONE-Jobs-E781285.htm', 'count': '--'}",Saarland,Unknown,Information Technology Support Services,
44,Onroad,4.6,"{'url': '/Reviews/Onroad-Reviews-E5684801.htm', 'count': '2'}","{'url': '/Salary/Onroad-Salaries-E5684801.htm', 'count': '--'}","{'url': '/Jobs/Onroad-Jobs-E5684801.htm', 'count': '--'}",Saarland,1 to 50 Employees,Education & Training Services,
45,KÖTTER,3.5,"{'url': '/Reviews/K%C3%96TTER-Reviews-E934151.htm', 'count': '59'}","{'url': '/Salary/K%C3%96TTER-Salaries-E934151.htm', 'count': '1'}","{'url': '/Jobs/K%C3%96TTER-Jobs-E934151.htm', 'count': '67'}",Saarland,5001 to 10000 Employees,Security & Protective,"The demands of the market change constantly. In order to stay ""on top"" of the competition, organisational and service processes must continually be analysed and optimised. Therefore, research and development at KÖTTER includes various areas, from procedures and deployment schedules through security and cleaning technology to hardware and software developments. All these innovations are pursued for the same goal: optimal quality for our customers!"
46,Scheer Management,5.0,"{'url': '/Reviews/Scheer-Management-Reviews-E1120113.htm', 'count': '2'}","{'url': '/Salary/Scheer-Management-Salaries-E1120113.htm', 'count': '--'}","{'url': '/Jobs/Scheer-Management-Jobs-E1120113.htm', 'count': '--'}",Saarland,501 to 1000 Employees,N/A,
47,Leibniz-Institut für Neue Materialien,3.9,"{'url': '/Reviews/Leibniz-Institut-f%C3%BCr-Neue-Materialien-Reviews-E1187404.htm', 'count': '17'}","{'url': '/Salary/Leibniz-Institut-f%C3%BCr-Neue-Materialien-Salaries-E1187404.htm', 'count': '--'}","{'url': '/Jobs/Leibniz-Institut-f%C3%BCr-Neue-Materialien-Jobs-E1187404.htm', 'count': '6'}",Saarland,201 to 500 Employees,N/A,
48,GE,4.0,"{'url': '/Reviews/GE-Reviews-E277.htm', 'count': '18K'}","{'url': '/Salary/GE-Salaries-E277.htm', 'count': '13.6K'}","{'url': '/Jobs/GE-Jobs-E277.htm', 'count': '1.6K'}",Saarland,10000+ Employees,Machinery Manufacturing,"For more than 125 years, GE has invented the future of industry, and today the company’s dedicated team, leading technology, and global reach and capabilities help the world work more efficiently, reliably, and safely. GE’s people are diverse and dedicated, operating with the highest level of integrity and focus to fulfill GE’s mission and deliver for its customers."
49,Stegmann Personaldienstleistung,4.1,"{'url': '/Reviews/Stegmann-Personaldienstleistung-Reviews-E1120869.htm', 'count': '13'}","{'url': '/Salary/Stegmann-Personaldienstleistung-Salaries-E1120869.htm', 'count': '--'}","{'url': '/Jobs/Stegmann-Personaldienstleistung-Jobs-E1120869.htm', 'count': '5.2K'}",Saarland,501 to 1000 Employees,HR Consulting,
50,Der Schwesternverband,2.9,"{'url': '/Reviews/Der-Schwesternverband-Reviews-E935402.htm', 'count': '5'}","{'url': '/Salary/Der-Schwesternverband-Salaries-E935402.htm', 'count': '--'}","{'url': '/Jobs/Der-Schwesternverband-Jobs-E935402.htm', 'count': '366'}",Saarland,1001 to 5000 Employees,Civic & Social Services,
51,Bosch,4.4,"{'url': '/Reviews/Bosch-Reviews-E4293.htm', 'count': '2.5K'}","{'url': '/Salary/Bosch-Salaries-E4293.htm', 'count': '1.9K'}","{'url': '/Jobs/Bosch-Jobs-E4293.htm', 'count': '5.3K'}",Saarland,10000+ Employees,Consumer Product Manufacturing,"The Bosch Group is a leading global supplier of technology and services. It employs roughly 420,000 associates worldwide (as of Dec. 31, 2022). The company generated sales of $93.1 billion in 2022. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch is pursuing a vision of mobility that is sustainable, safe, and exciting. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to facilitate connected living with products and solutions that either contain artificial intelligence (AI) or have been developed or manufactured with its help. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.” The Bosch Group comprises Robert Bosch GmbH and its roughly 440 subsidiary and regional companies in some 60 countries. Including sales and service partners, Bosch’s global manufacturing, engineering, and sales network covers nearly every country in the world. With its more than 400 locations worldwide, the Bosch Group has been carbon neutral since the first quarter of 2020. The basis for the company’s future growth is its innovative strength. At 128 locations across the globe, Bosch employs roughly 84,800 associates in research and development, of which more than 44,000 are software engineers. In North America, Bosch employs approximately 3,500 associates in research and development. 

Imprint: https://www.bosch.us/corporate-information/
Privacy statement: https://www.bosch.us/privacy-statement/"
52,IKK Südwest,3.6,"{'url': '/Reviews/IKK-S%C3%BCdwest-Reviews-E935120.htm', 'count': '4'}","{'url': '/Salary/IKK-S%C3%BCdwest-Salaries-E935120.htm', 'count': '--'}","{'url': '/Jobs/IKK-S%C3%BCdwest-Jobs-E935120.htm', 'count': '3'}",Saarland,1001 to 5000 Employees,Health Care Services & Hospitals,
53,Helmholtz-Zentrum Geesthacht,3.7,"{'url': '/Reviews/Helmholtz-Zentrum-Geesthacht-Reviews-E932647.htm', 'count': '48'}","{'url': '/Salary/Helmholtz-Zentrum-Geesthacht-Salaries-E932647.htm', 'count': '--'}","{'url': '/Jobs/Helmholtz-Zentrum-Geesthacht-Jobs-E932647.htm', 'count': '--'}",Saarland,501 to 1000 Employees,Research & Development,"In the years since the institution was founded in 1956, the spectrum of activities at the Helmholtz-Zentrum Geesthacht has moved to accommodate the shifting focus of social, scientific and economic inquiry in order to arrive at the centre’s present research profile. In accordance with our motto — “Science creates benefits” — the researchers at the Helmholtz-Zentrum Geesthacht not only produce scientific knowledge but also apply it to a range of concrete uses for the present and future.

As a member of the Helmholtz Association of German Research Centres, the largest scientific organization in the country, the Helmholtz-Zentrum Geesthacht is engaged in long-term activities in the fields of materials and coastal research that are making a major contribution to resolving the large and pressing issues facing society and the scientific and business worlds. 

"
